"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 14 13:15:42 GMT 2022","Mon Nov 14 13:16:45 GMT 2022","62659","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"passed","Mon Nov 14 13:14:39 GMT 2022","Mon Nov 14 13:15:42 GMT 2022","63244","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
"failed","Mon Nov 14 13:09:57 GMT 2022","Mon Nov 14 13:11:34 GMT 2022","96862","","Casos de prueba sobre la página principal de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada","","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada",""
"failed","Mon Nov 14 13:18:47 GMT 2022","Mon Nov 14 13:19:24 GMT 2022","36493","","Casos de prueba sobre un artículo de Diario AS","","CP03. Carga de contenedores de tipo LDB en el artículo","","CP03. Carga de contenedores de tipo LDB en el artículo",""
"failed","Mon Nov 14 13:20:05 GMT 2022","Mon Nov 14 13:21:02 GMT 2022","57599","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el artículo","","CP04. Carga de contenedores de tipo MPU en el artículo",""
"failed","Mon Nov 14 13:16:45 GMT 2022","Mon Nov 14 13:17:49 GMT 2022","64027","","Casos de prueba sobre un artículo de Diario AS","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el artículo","","CP01. Carga de contenedores SKY en caso de no tener SKIN en el artículo",""
"passed","Mon Nov 14 13:12:46 GMT 2022","Mon Nov 14 13:13:45 GMT 2022","58336","","Casos de prueba sobre la página principal de Diario AS","","CP03. Carga de contenedores de tipo LDB en la portada","","CP03. Carga de contenedores de tipo LDB en la portada",""
"failed","Mon Nov 14 13:21:02 GMT 2022","Mon Nov 14 13:22:01 GMT 2022","58907","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el artículo","","CP04. Carga de contenedores de tipo MPU en el artículo",""
"passed","Mon Nov 14 13:22:01 GMT 2022","Mon Nov 14 13:22:40 GMT 2022","38924","","Casos de prueba sobre un artículo de Diario AS","","CP05. Carga de contenedor de tipo BTN en el artículo","","CP05. Carga de contenedor de tipo BTN en el artículo",""
"passed","Mon Nov 14 13:11:34 GMT 2022","Mon Nov 14 13:12:46 GMT 2022","72127","","Casos de prueba sobre la página principal de Diario AS","","CP02. Carga de contenedor de tipo STICKY en la portada","","CP02. Carga de contenedor de tipo STICKY en la portada",""
"passed","Mon Nov 14 13:19:24 GMT 2022","Mon Nov 14 13:20:04 GMT 2022","40854","","Casos de prueba sobre un artículo de Diario AS","","CP04. Carga de contenedores de tipo MPU en el artículo","","CP04. Carga de contenedores de tipo MPU en el artículo",""
"failed","Mon Nov 14 13:17:49 GMT 2022","Mon Nov 14 13:18:47 GMT 2022","57958","","Casos de prueba sobre un artículo de Diario AS","","CP02. Carga de contenedor de tipo STICKY en el artículo","","CP02. Carga de contenedor de tipo STICKY en el artículo",""
"passed","Mon Nov 14 13:22:40 GMT 2022","Mon Nov 14 13:23:20 GMT 2022","39859","","Casos de prueba sobre un artículo de Diario AS","","CP06. Carga de contenedor de tipo INTEXT en el artículo","","CP06. Carga de contenedor de tipo INTEXT en el artículo",""
"passed","Mon Nov 14 13:13:45 GMT 2022","Mon Nov 14 13:14:39 GMT 2022","54203","","Casos de prueba sobre la página principal de Diario AS","","CP04. Carga de contenedores de tipo MPU en la portada","","CP04. Carga de contenedores de tipo MPU en la portada",""
