"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Casos de prueba sobre un artículo de Diario AS","CP06. Carga de contenedor de tipo INTEXT en el artículo","0","0","1","0","0"
"","Casos de prueba sobre la página principal de Diario AS","CP02. Carga de contenedor de tipo STICKY en la portada","0","0","1","0","0"
"","Casos de prueba sobre la página principal de Diario AS","CP01. Carga de contenedores SKY en caso de no tener SKIN en la portada","1","0","0","0","0"
"","Casos de prueba sobre la página principal de Diario AS","CP04. Carga de contenedores de tipo MPU en la portada","1","0","2","0","0"
"","Casos de prueba sobre la página principal de Diario AS","CP03. Carga de contenedores de tipo LDB en la portada","0","0","1","0","0"
"","Casos de prueba sobre un artículo de Diario AS","CP04. Carga de contenedores de tipo MPU en el artículo","0","0","3","0","0"
"","Casos de prueba sobre un artículo de Diario AS","CP02. Carga de contenedor de tipo STICKY en el artículo","0","0","1","0","0"
"","Casos de prueba sobre un artículo de Diario AS","CP05. Carga de contenedor de tipo BTN en el artículo","1","0","0","0","0"
"","Casos de prueba sobre un artículo de Diario AS","CP03. Carga de contenedores de tipo LDB en el artículo","0","0","1","0","0"
"","Casos de prueba sobre un artículo de Diario AS","CP01. Carga de contenedores SKY en caso de no tener SKIN en el artículo","0","0","1","0","0"
